accuracies,n_authors,n_samples,FE_algorithm,n_gram,doc_len
0.675,5,40,Word n-gram,1,27-55
0.7891666666666668,10,120,Word n-gram,1,27-55
0.80375,10,80,Word n-gram,1,27-55
0.6575000000000001,10,40,Word n-gram,1,27-55
0.7883333333333333,20,120,Word n-gram,1,27-55
0.753125,20,80,Word n-gram,1,27-55
0.6525000000000001,20,40,Word n-gram,1,27-55
0.8208333333333334,2,120,Word n-gram,2,27-55
0.75,2,80,Word n-gram,2,27-55
0.7125,2,40,Word n-gram,2,27-55
0.7466666666666667,5,120,Word n-gram,2,27-55
0.66,5,80,Word n-gram,2,27-55
0.555,5,40,Word n-gram,2,27-55
0.7925000000000001,10,120,Word n-gram,2,27-55
0.73625,10,80,Word n-gram,2,27-55
0.5900000000000001,10,40,Word n-gram,2,27-55
0.7945833333333334,20,120,Word n-gram,2,27-55
0.6925000000000001,20,80,Word n-gram,2,27-55
0.5662499999999999,20,40,Word n-gram,2,27-55
0.6583333333333333,2,120,Word n-gram,3,27-55
0.65625,2,80,Word n-gram,3,27-55
0.5625,2,40,Word n-gram,3,27-55
0.6916666666666667,5,120,Word n-gram,3,27-55
0.6024999999999999,5,80,Word n-gram,3,27-55
0.39,5,40,Word n-gram,3,27-55
0.7316666666666667,10,120,Word n-gram,3,27-55
0.6537499999999999,10,80,Word n-gram,3,27-55
0.5425,10,40,Word n-gram,3,27-55
0.7654166666666666,20,120,Word n-gram,3,27-55
0.6824999999999999,20,80,Word n-gram,3,27-55
0.49000000000000005,20,40,Word n-gram,3,27-55
0.6291666666666667,2,120,Word n-gram,4,27-55
0.5875,2,80,Word n-gram,4,27-55
0.5375,2,40,Word n-gram,4,27-55
0.64,5,120,Word n-gram,4,27-55
0.5599999999999999,5,80,Word n-gram,4,27-55
0.4600000000000001,5,40,Word n-gram,4,27-55
0.7016666666666665,10,120,Word n-gram,4,27-55
0.61375,10,80,Word n-gram,4,27-55
0.49499999999999994,10,40,Word n-gram,4,27-55
0.76,20,120,Word n-gram,4,27-55
0.66,20,80,Word n-gram,4,27-55
0.4625,20,40,Word n-gram,4,27-55
0.5750000000000001,2,120,Word n-gram,5,27-55
0.5375,2,80,Word n-gram,5,27-55
0.525,2,40,Word n-gram,5,27-55
0.6033333333333333,5,120,Word n-gram,5,27-55
0.5725,5,80,Word n-gram,5,27-55
0.45499999999999996,5,40,Word n-gram,5,27-55
0.6833333333333332,10,120,Word n-gram,5,27-55
0.6187499999999999,10,80,Word n-gram,5,27-55
0.4149999999999999,10,40,Word n-gram,5,27-55
0.7229166666666667,20,120,Word n-gram,5,27-55
0.608125,20,80,Word n-gram,5,27-55
0.41000000000000003,20,40,Word n-gram,5,27-55
0.9125,2,120,Char n-gram,1,27-55
0.8625,2,80,Char n-gram,1,27-55
0.775,2,40,Char n-gram,1,27-55
0.5783333333333334,5,120,Char n-gram,1,27-55
0.5675000000000001,5,80,Char n-gram,1,27-55
0.49000000000000005,5,40,Char n-gram,1,27-55
0.5058333333333334,10,120,Char n-gram,1,27-55
0.5199999999999999,10,80,Char n-gram,1,27-55
0.4774999999999999,10,40,Char n-gram,1,27-55
0.3591666666666667,20,120,Char n-gram,1,27-55
0.3425,20,80,Char n-gram,1,27-55
0.30375,20,40,Char n-gram,1,27-55
0.95,2,120,Char n-gram,2,27-55
0.925,2,80,Char n-gram,2,27-55
0.875,2,40,Char n-gram,2,27-55
0.7666666666666666,5,120,Char n-gram,2,27-55
0.7,5,80,Char n-gram,2,27-55
0.625,5,40,Char n-gram,2,27-55
0.7433333333333334,10,120,Char n-gram,2,27-55
0.71875,10,80,Char n-gram,2,27-55
0.6199999999999999,10,40,Char n-gram,2,27-55
0.6741666666666667,20,120,Char n-gram,2,27-55
0.595625,20,80,Char n-gram,2,27-55
0.5399999999999999,20,40,Char n-gram,2,27-55
0.9666666666666668,2,120,Char n-gram,3,27-55
0.975,2,80,Char n-gram,3,27-55
0.9375,2,40,Char n-gram,3,27-55
0.825,5,120,Char n-gram,3,27-55
0.775,5,80,Char n-gram,3,27-55
0.675,5,40,Char n-gram,3,27-55
0.8108333333333333,10,120,Char n-gram,3,27-55
0.76625,10,80,Char n-gram,3,27-55
0.6950000000000001,10,40,Char n-gram,3,27-55
0.7491666666666668,20,120,Char n-gram,3,27-55
0.7093749999999999,20,80,Char n-gram,3,27-55
0.6124999999999999,20,40,Char n-gram,3,27-55
0.9625,2,120,Char n-gram,4,27-55
0.94375,2,80,Char n-gram,4,27-55
0.8875,2,40,Char n-gram,4,27-55
0.82,5,120,Char n-gram,4,27-55
0.795,5,80,Char n-gram,4,27-55
0.68,5,40,Char n-gram,4,27-55
0.8099999999999999,10,120,Char n-gram,4,27-55
0.7562499999999999,10,80,Char n-gram,4,27-55
0.6925,10,40,Char n-gram,4,27-55
0.795,20,120,Char n-gram,4,27-55
0.7224999999999999,20,80,Char n-gram,4,27-55
0.625,20,40,Char n-gram,4,27-55
