"accuracies","n_authors","n_samples","FE_algorithm","n_gram","doc_len"
"0.465","20","10","POS n-gram","1","1-46"
"0.5374999999999999","20","20","POS n-gram","1","1-46"
"0.555","20","30","POS n-gram","1","1-46"
"0.579","20","50","POS n-gram","1","1-46"
"0.601","20","100","POS n-gram","1","1-46"
"0.61625","20","200","POS n-gram","1","1-46"
"0.6143333333333333","20","300","POS n-gram","1","1-46"
"0.6256","20","500","POS n-gram","1","1-46"
"0.49523809523809514","21","10","POS n-gram","1","1-46"
"0.5380952380952381","21","20","POS n-gram","1","1-46"
"0.5666666666666667","21","30","POS n-gram","1","1-46"
"0.5828571428571427","21","50","POS n-gram","1","1-46"
"0.6399999999999999","21","100","POS n-gram","1","1-46"
"0.6347619047619049","21","200","POS n-gram","1","1-46"
"0.6384126984126983","21","300","POS n-gram","1","1-46"
"0.6311428571428571","21","500","POS n-gram","1","1-46"
"0.42272727272727273","22","10","POS n-gram","1","1-46"
"0.5431818181818182","22","20","POS n-gram","1","1-46"
"0.5681818181818181","22","30","POS n-gram","1","1-46"
"0.5763636363636364","22","50","POS n-gram","1","1-46"
"0.6004545454545455","22","100","POS n-gram","1","1-46"
"0.6052272727272727","22","200","POS n-gram","1","1-46"
"0.6068181818181818","22","300","POS n-gram","1","1-46"
"0.6103636363636363","22","500","POS n-gram","1","1-46"
"0.4608695652173913","23","10","POS n-gram","1","1-46"
"0.5108695652173914","23","20","POS n-gram","1","1-46"
"0.5449275362318841","23","30","POS n-gram","1","1-46"
"0.5634782608695652","23","50","POS n-gram","1","1-46"
"0.5834782608695652","23","100","POS n-gram","1","1-46"
"0.6002173913043478","23","200","POS n-gram","1","1-46"
"0.5937681159420289","23","300","POS n-gram","1","1-46"
"0.5990434782608696","23","500","POS n-gram","1","1-46"
"0.5041666666666667","24","10","POS n-gram","1","1-46"
"0.5041666666666667","24","20","POS n-gram","1","1-46"
"0.5569444444444445","24","30","POS n-gram","1","1-46"
"0.5783333333333334","24","50","POS n-gram","1","1-46"
"0.5729166666666667","24","100","POS n-gram","1","1-46"
"0.6047916666666666","24","200","POS n-gram","1","1-46"
"0.6101388888888889","24","300","POS n-gram","1","1-46"
"0.6161666666666668","24","500","POS n-gram","1","1-46"
"0.5080000000000001","25","10","POS n-gram","1","1-46"
"0.538","25","20","POS n-gram","1","1-46"
"0.5293333333333334","25","30","POS n-gram","1","1-46"
"0.5552000000000001","25","50","POS n-gram","1","1-46"
"0.5827999999999999","25","100","POS n-gram","1","1-46"
"0.5933999999999999","25","200","POS n-gram","1","1-46"
"0.6038666666666668","25","300","POS n-gram","1","1-46"
"0.58928","25","500","POS n-gram","1","1-46"
"0.476923076923077","26","10","POS n-gram","1","1-46"
"0.5346153846153846","26","20","POS n-gram","1","1-46"
"0.5615384615384615","26","30","POS n-gram","1","1-46"
"0.5784615384615384","26","50","POS n-gram","1","1-46"
"0.5961538461538461","26","100","POS n-gram","1","1-46"
"0.5967307692307692","26","200","POS n-gram","1","1-46"
"0.602051282051282","26","300","POS n-gram","1","1-46"
"0.6078461538461537","26","500","POS n-gram","1","1-46"
"0.45185185185185184","27","10","POS n-gram","1","1-46"
"0.5018518518518518","27","20","POS n-gram","1","1-46"
"0.5333333333333333","27","30","POS n-gram","1","1-46"
"0.5414814814814816","27","50","POS n-gram","1","1-46"
"0.5685185185185185","27","100","POS n-gram","1","1-46"
"0.5742592592592592","27","200","POS n-gram","1","1-46"
"0.5801234567901236","27","300","POS n-gram","1","1-46"
"0.5902222222222222","27","500","POS n-gram","1","1-46"
"0.4571428571428572","28","10","POS n-gram","1","1-46"
"0.4767857142857143","28","20","POS n-gram","1","1-46"
"0.5035714285714286","28","30","POS n-gram","1","1-46"
"0.5314285714285714","28","50","POS n-gram","1","1-46"
"0.5435714285714287","28","100","POS n-gram","1","1-46"
"0.5650000000000001","28","200","POS n-gram","1","1-46"
"0.5608333333333333","28","300","POS n-gram","1","1-46"
"0.5752857142857143","28","500","POS n-gram","1","1-46"
"0.46896551724137925","29","10","POS n-gram","1","1-46"
"0.49137931034482757","29","20","POS n-gram","1","1-46"
"0.5183908045977013","29","30","POS n-gram","1","1-46"
"0.5241379310344827","29","50","POS n-gram","1","1-46"
"0.5341379310344829","29","100","POS n-gram","1","1-46"
"0.5449999999999999","29","200","POS n-gram","1","1-46"
"0.55","29","300","POS n-gram","1","1-46"
"0.5497931034482758","29","500","POS n-gram","1","1-46"
"0.44333333333333336","30","10","POS n-gram","1","1-46"
"0.4683333333333334","30","20","POS n-gram","1","1-46"
"0.47555555555555556","30","30","POS n-gram","1","1-46"
"0.4926666666666667","30","50","POS n-gram","1","1-46"
"0.5276666666666667","30","100","POS n-gram","1","1-46"
"0.5396666666666666","30","200","POS n-gram","1","1-46"
"0.5315555555555556","30","300","POS n-gram","1","1-46"
"0.5434","30","500","POS n-gram","1","1-46"
"0.4129032258064516","31","10","POS n-gram","1","1-46"
"0.4612903225806452","31","20","POS n-gram","1","1-46"
"0.4720430107526882","31","30","POS n-gram","1","1-46"
