accuracies,n_authors,n_samples,FE_algorithm,n_gram,FE_algorithm_ngram
0.74,37,100,Word n-gram,1,Word n-gram 1
0.8054054054054054,37,200,Word n-gram,1,Word n-gram 1
0.826846846846847,37,300,Word n-gram,1,Word n-gram 1
0.8593513513513512,37,500,Word n-gram,1,Word n-gram 1
0.5078947368421052,38,10,Word n-gram,1,Word n-gram 1
0.5828947368421051,38,20,Word n-gram,1,Word n-gram 1
0.618421052631579,38,30,Word n-gram,1,Word n-gram 1
0.6652631578947369,38,50,Word n-gram,1,Word n-gram 1
0.7310526315789473,38,100,Word n-gram,1,Word n-gram 1
0.8036842105263158,38,200,Word n-gram,1,Word n-gram 1
0.8248245614035087,38,300,Word n-gram,1,Word n-gram 1
0.8517368421052632,38,500,Word n-gram,1,Word n-gram 1
0.5102564102564102,39,10,Word n-gram,1,Word n-gram 1
0.5717948717948718,39,20,Word n-gram,1,Word n-gram 1
0.5991452991452991,39,30,Word n-gram,1,Word n-gram 1
0.6471794871794871,39,50,Word n-gram,1,Word n-gram 1
0.7276923076923077,39,100,Word n-gram,1,Word n-gram 1
0.8024358974358975,39,200,Word n-gram,1,Word n-gram 1
0.8247863247863247,39,300,Word n-gram,1,Word n-gram 1
0.8498974358974358,39,500,Word n-gram,1,Word n-gram 1
0.515,40,10,Word n-gram,1,Word n-gram 1
0.57375,40,20,Word n-gram,1,Word n-gram 1
0.615,40,30,Word n-gram,1,Word n-gram 1
0.689,40,50,Word n-gram,1,Word n-gram 1
0.73025,40,100,Word n-gram,1,Word n-gram 1
0.784,40,200,Word n-gram,1,Word n-gram 1
0.8143333333333332,40,300,Word n-gram,1,Word n-gram 1
0.851,40,500,Word n-gram,1,Word n-gram 1
0.524390243902439,41,10,Word n-gram,1,Word n-gram 1
0.5524390243902438,41,20,Word n-gram,1,Word n-gram 1
0.6154471544715447,41,30,Word n-gram,1,Word n-gram 1
0.661951219512195,41,50,Word n-gram,1,Word n-gram 1
